unidade;cep;cidade;uf;endereco;ativa;produtos_disponiveis
Matriz / Loja;15895-314;Cedral;SP;Rua Carolina Capuano Mantanhim, 329 - Recanto Antônio Silva Filho;SIM;TODOS
Unidade 1;13419-150;Piracicaba;SP;Rod SP308 (Açúcar) S/N KM 159 - Dois Córregos;SIM;TODOS
Unidade 2;15600-000;Fernandópolis;SP;Av. Litério Grecco, 456;SIM;TODOS
Unidade 3;14176-122;Sertãozinho;SP;Rua Osvaldo Almeida de Souza, 32 - Distrito Industrial;SIM;TODOS
Unidade 4;37600-000;Cambuí;MG;Dos Nascimento, 354 - Congonhal;SIM;TODOS
Unidade 5;89245-000;Araquari;SC;Rodovia BR 101, nº 17175 Km 63,5;SIM;TODOS
Unidade 6;78134-302;Várzea Grande;MT;Av. das Palmeiras, Lote C Industrial - Capão do Pequi;SIM;TODOS
Unidade 7;75132-120;Anápolis;GO;Rua VP-5D Qd.08 Módulos 06/08 e 10/21 - DAIA;SIM;TODOS
Unidade 8;55613-010;Vitória de Santo Antão;PE;Rodovia Luiz Gonzaga BR 232 Km 51,8 - Distrito Industrial;SIM;TODOS
